id_contrato,idade,renda_mensal,tempo_emprego_anos,score_credito,dividas_ativas,possui_imovel,finalidade,valor_emprestimo,prazo_meses,inadimplente
100055,34,3292.74,7.2,721,0,sim,negocio,14200.0,48,0
100056,32,4829.4,5.5,757,1,sim,pessoal,18200.0,48,0
100057,37,2678.08,0.6,742,0,sim,veiculo,2700.0,36,0
100058,58,2323.56,9.9,507,0,sim,veiculo,17200.0,48,0
100059,30,2905.19,9.8,748,2,sim,veiculo,5500.0,12,0
100060,52,7593.69,5.4,882,2,sim,educacao,8700.0,24,0
100061,20,2165.77,1.4,637,1,nao,educacao,2600.0,48,1
100062,36,2203.05,1.3,835,2,nao,reforma,4600.0,24,0
100063,42,4147.93,16.7,521,1,nao,reforma,19400.0,24,0
100064,47,5286.98,1.0,636,1,sim,educacao,37100.0,12,0
100065,49,10125.34,5.5,557,2,sim,veiculo,43500.0,60,0
100066,50,5034.05,16.6,819,1,sim,veiculo,49900.0,60,0
100067,36,5067.42,2.0,853,1,nao,pessoal,13900.0,12,0
100068,34,5156.88,1.0,627,0,sim,pessoal,15700.0,24,0
100069,50,2197.9,2.0,792,0,sim,negocio,2500.0,24,0
100070,38,2142.88,10.6,855,0,nao,educacao,5300.0,24,0
100071,25,1704.59,9.0,636,2,nao,veiculo,1800.0,24,0
100072,26,1507.22,2.9,657,0,nao,pessoal,2400.0,24,0
100073,29,5052.3,,735,1,nao,reforma,25800.0,48,0
100074,46,4663.68,15.3,530,0,nao,negocio,5900.0,60,0
100075,42,3978.19,1.4,654,1,sim,negocio,5400.0,12,1
100076,48,1412.0,3.4,919,1,sim,reforma,1700.0,24,0
100077,35,10883.71,7.6,575,1,nao,reforma,60700.0,48,0
100078,42,2328.57,18.3,751,0,sim,pessoal,21800.0,24,0
100079,48,12549.49,15.3,708,2,sim,pessoal,42000.0,24,0
100080,36,1602.48,4.9,619,0,nao,pessoal,9900.0,24,0
100081,45,2516.42,2.6,669,1,sim,veiculo,4400.0,36,0
100082,32,1412.0,7.2,868,0,nao,negocio,10300.0,24,0
100083,36,4339.7,0.9,712,0,sim,negocio,9900.0,12,0
100084,35,1917.58,19.0,732,1,sim,pessoal,10000.0,48,0
100085,26,1738.11,1.8,848,0,nao,veiculo,6000.0,24,0
100086,46,1868.98,4.8,602,2,nao,pessoal,2100.0,60,0
100087,34,5324.27,0.1,504,1,nao,veiculo,11000.0,36,1
100088,40,,3.4,870,1,sim,educacao,21400.0,12,0
100089,46,10771.4,,658,2,sim,educacao,12400.0,24,0
100090,45,2698.02,2.5,756,0,nao,negocio,11300.0,60,0
100091,48,4579.24,4.2,541,1,sim,veiculo,6900.0,12,1
100092,39,1811.8,0.8,691,5,nao,reforma,8800.0,24,1
100093,35,2922.63,5.1,497,0,nao,negocio,4500.0,24,0
100094,39,2767.91,11.9,648,1,nao,reforma,12600.0,60,1
100095,20,3723.36,1.8,556,0,nao,pessoal,21300.0,60,0
100096,23,5266.16,7.0,526,0,nao,pessoal,16700.0,48,1
100097,24,5263.96,2.4,601,1,nao,pessoal,17600.0,24,1
100098,28,2025.54,2.6,342,1,nao,pessoal,17300.0,24,1
100099,45,6812.87,,489,2,nao,veiculo,14900.0,12,1
100100,29,3183.86,3.7,742,0,nao,reforma,8100.0,12,0
100101,35,2939.46,4.9,685,0,nao,pessoal,15100.0,60,0
100102,56,2806.62,11.6,500,1,sim,pessoal,12700.0,36,1
100103,36,2613.45,10.7,711,1,nao,pessoal,7900.0,24,0
100104,49,10694.69,1.7,526,1,nao,educacao,18100.0,48,0
100105,29,3862.89,3.2,734,1,nao,pessoal,24200.0,12,0
100106,38,4006.91,12.3,625,1,nao,pessoal,6700.0,36,0
100107,29,2823.86,0.3,598,1,nao,reforma,38800.0,24,1
100108,36,13652.53,1.1,628,1,sim,veiculo,23300.0,36,0
100109,50,8494.49,0.5,973,2,sim,pessoal,15300.0,24,0
100110,19,1911.57,2.6,541,0,nao,educacao,8200.0,12,1
100111,45,3384.37,2.7,669,0,nao,veiculo,16500.0,60,0
100112,43,3422.05,0.0,742,1,sim,veiculo,6700.0,60,0
100113,33,3716.53,6.7,515,0,nao,reforma,35900.0,36,0
100114,23,2046.78,7.0,433,1,nao,pessoal,8700.0,48,1
100115,41,,3.5,562,0,nao,pessoal,14500.0,24,0
100116,34,7716.64,1.0,739,1,nao,veiculo,34000.0,24,0
100117,43,1869.33,13.4,596,2,nao,pessoal,13500.0,24,1
100118,40,2002.34,11.1,610,1,nao,pessoal,18400.0,12,1
100119,59,3176.96,4.7,758,1,sim,pessoal,12500.0,36,0
100120,37,2829.61,,535,2,nao,veiculo,4600.0,48,1
100121,28,9665.26,4.3,628,0,nao,educacao,15900.0,48,0
100122,42,6606.44,3.4,443,1,nao,veiculo,9900.0,36,0
100123,43,6471.78,6.8,682,2,sim,negocio,15400.0,36,0
100124,56,3583.21,14.6,670,1,sim,veiculo,12800.0,36,0
100125,50,3540.22,6.3,743,2,nao,veiculo,14100.0,60,1
100126,44,,12.0,491,1,sim,pessoal,12100.0,24,0
100127,58,6370.12,12.4,615,1,sim,pessoal,6400.0,36,0
100128,26,4108.38,,474,2,nao,pessoal,14300.0,60,0
100129,32,,5.3,608,1,nao,pessoal,31700.0,36,1
100130,29,2904.86,,833,0,sim,reforma,1900.0,48,0
100131,35,3250.39,3.9,598,0,nao,pessoal,14900.0,36,0
100132,23,3305.09,1.4,462,0,nao,pessoal,59500.0,60,1
100133,48,6630.81,2.5,552,0,nao,educacao,36900.0,60,1
100134,37,1602.81,,431,2,sim,pessoal,6700.0,36,1
100135,22,4449.18,6.0,472,2,nao,negocio,13200.0,12,1
100136,28,3183.91,0.1,727,2,nao,educacao,12800.0,36,0
100137,44,2174.23,,452,2,sim,pessoal,19100.0,24,1
100138,50,1412.0,0.2,681,2,sim,pessoal,4000.0,24,0
100139,64,3844.34,13.8,643,2,nao,negocio,27500.0,36,0
100140,75,9188.05,26.4,571,0,sim,educacao,42500.0,36,0
100141,45,9882.18,2.9,670,0,sim,negocio,91800.0,60,0
100142,28,3915.09,12.0,518,3,sim,pessoal,26300.0,12,0
100143,18,8237.71,0.1,749,1,nao,veiculo,32300.0,24,0
100144,43,3760.14,8.9,549,3,sim,pessoal,14200.0,36,1
100145,30,5581.46,7.9,590,0,nao,veiculo,16200.0,36,0
100146,35,2741.7,14.9,574,0,sim,pessoal,17200.0,24,0
100147,33,2584.5,,730,1,nao,reforma,6300.0,24,0
100148,38,2507.67,0.2,711,1,nao,veiculo,9400.0,24,0
100149,53,1412.0,13.0,300,1,sim,educacao,4400.0,60,0
100150,42,7729.2,2.0,673,0,nao,pessoal,12100.0,24,0
100151,38,2557.64,19.6,413,1,nao,negocio,10200.0,36,0
100152,28,2072.16,12.0,596,1,nao,pessoal,2900.0,60,1
100153,20,1507.11,1.8,626,0,nao,negocio,4000.0,12,0
100154,34,3102.89,8.0,594,2,nao,reforma,16200.0,60,0
100155,39,9712.14,1.1,705,1,sim,pessoal,37600.0,48,0
100156,61,13108.22,1.3,734,0,sim,educacao,50300.0,36,0
100157,42,1527.49,21.9,539,0,nao,veiculo,3200.0,60,0
100158,52,3410.01,8.4,535,1,sim,pessoal,22400.0,12,1
100159,34,,15.1,635,2,nao,pessoal,4000.0,60,0
100160,26,5400.73,2.4,439,1,nao,negocio,28900.0,24,1
100161,28,3769.75,4.5,578,0,nao,negocio,28800.0,24,1
100162,31,2357.62,6.7,815,2,nao,veiculo,3300.0,12,0
100163,66,4312.75,5.6,444,3,sim,pessoal,11800.0,36,1
100164,30,2540.99,10.2,596,2,nao,pessoal,6600.0,24,0
100165,50,10069.36,2.9,563,2,sim,pessoal,41500.0,24,0
100166,29,4406.89,13.0,901,0,nao,reforma,8800.0,12,0
100167,51,5989.84,2.3,570,1,sim,veiculo,10400.0,24,0
100168,45,1412.0,3.0,578,0,nao,veiculo,4800.0,24,1
100169,38,3508.72,,506,2,sim,educacao,8800.0,48,0
100170,40,11711.42,3.5,641,0,nao,negocio,37600.0,36,0
100171,32,7025.95,5.8,675,2,nao,pessoal,42000.0,48,0
100172,45,1424.41,5.3,525,1,sim,veiculo,1900.0,48,0
100173,35,2957.58,1.8,769,0,nao,veiculo,9700.0,12,0
100174,25,1597.8,0.7,675,1,nao,pessoal,3900.0,24,1
100175,25,7929.35,7.3,751,0,nao,veiculo,28100.0,48,0
100176,42,4355.58,4.8,597,0,sim,pessoal,10700.0,36,0
100177,59,2716.58,8.4,672,1,sim,pessoal,4700.0,36,1
100178,42,3880.22,0.5,612,2,nao,educacao,17200.0,12,1
100179,39,1412.0,4.4,829,0,sim,pessoal,26100.0,24,0
100180,43,2119.85,1.4,655,2,nao,reforma,7000.0,36,0
100181,56,4227.9,3.9,641,1,sim,pessoal,9600.0,48,0
100182,43,6130.0,2.0,580,2,nao,reforma,13900.0,60,0
100183,35,1412.0,1.3,573,2,nao,reforma,8700.0,36,0
100184,53,3360.29,0.3,671,2,sim,educacao,6900.0,48,1
100185,45,6855.04,1.7,747,1,sim,pessoal,52300.0,36,0
100186,58,1865.19,12.0,551,2,sim,veiculo,2400.0,60,0
100187,42,4319.56,1.2,656,2,nao,negocio,17000.0,60,0
100188,25,3208.33,5.2,664,0,nao,pessoal,16700.0,24,0
100189,24,7835.83,8.0,687,2,nao,pessoal,43300.0,24,1
100190,60,3651.31,12.9,418,0,sim,pessoal,19400.0,60,0
100191,61,3770.78,1.9,520,0,sim,negocio,15500.0,36,1
100192,38,5825.31,2.1,462,0,nao,pessoal,40700.0,36,0
100193,35,1694.29,0.4,644,1,nao,pessoal,3300.0,48,0
100194,58,3669.94,,523,0,sim,negocio,8700.0,24,0
100195,27,2473.42,11.0,575,4,nao,veiculo,6800.0,60,0
100196,29,3022.06,8.6,485,1,nao,pessoal,25800.0,36,1
100197,48,6474.08,3.2,588,0,sim,veiculo,30000.0,60,1
100198,35,4766.17,1.7,494,3,nao,pessoal,25100.0,36,0
100199,40,2467.05,17.2,739,0,nao,veiculo,7800.0,24,0
100200,38,3924.22,2.0,702,1,nao,pessoal,22400.0,60,0
100201,44,8834.51,0.0,660,0,sim,veiculo,12200.0,36,0
100202,57,2623.24,0.2,601,2,sim,reforma,7200.0,48,0
100203,41,4079.01,5.8,375,0,sim,pessoal,12500.0,24,1
100204,48,3650.79,32.0,580,3,sim,veiculo,9600.0,36,0
100205,18,2704.63,2.0,541,0,nao,negocio,7800.0,48,1
100206,39,1501.69,7.1,672,2,nao,veiculo,7300.0,48,0
100207,30,7178.23,9.9,721,1,nao,negocio,29000.0,60,0
100208,25,2020.96,3.4,682,0,sim,negocio,14500.0,48,0
100209,29,5735.53,3.1,804,1,sim,pessoal,5700.0,24,0
100210,36,2526.61,5.3,566,1,nao,veiculo,21600.0,60,0
100211,51,2937.72,11.2,561,0,sim,educacao,7000.0,60,0
100212,24,5947.76,1.9,775,1,nao,reforma,45800.0,60,0
100213,40,6432.96,,662,1,nao,educacao,17500.0,60,0
100214,34,3894.23,15.8,608,0,nao,pessoal,17000.0,48,1
100215,36,5404.7,2.5,880,0,sim,negocio,9900.0,48,0
100216,52,3535.86,0.6,715,0,sim,pessoal,6000.0,36,1
100217,46,3957.74,5.6,615,1,sim,reforma,19600.0,24,0
100218,56,2879.94,11.6,551,0,sim,negocio,2000.0,60,0
100219,38,5984.78,3.2,812,1,nao,veiculo,10100.0,24,0
100220,32,2313.73,10.6,667,1,sim,veiculo,12800.0,36,0
100221,37,8143.45,0.0,643,1,nao,reforma,22200.0,24,1
100222,43,3236.09,0.5,728,2,nao,negocio,6700.0,24,0
100223,42,3851.2,3.1,754,0,nao,veiculo,33600.0,48,0
100224,27,4823.75,2.8,711,1,nao,reforma,52000.0,36,1
100225,41,3815.76,,755,1,sim,pessoal,13400.0,36,0
100226,43,3268.15,11.3,699,0,nao,pessoal,24600.0,36,0
100227,70,4076.13,7.1,712,2,sim,pessoal,35500.0,48,0
100228,63,6775.15,2.6,545,0,sim,veiculo,23500.0,24,0
100229,30,2294.62,0.9,875,2,nao,veiculo,5900.0,36,0
100230,37,3356.66,1.7,480,0,nao,pessoal,12400.0,24,0
100231,22,2984.84,6.0,680,1,nao,pessoal,4400.0,60,0
100232,33,5518.37,1.8,466,0,nao,pessoal,27200.0,12,1
100233,44,3684.03,18.9,627,0,sim,negocio,10600.0,60,0
100234,54,11203.5,5.6,566,0,sim,pessoal,40600.0,12,0
100235,31,3069.97,9.5,658,1,sim,veiculo,11000.0,12,0
100236,32,2972.83,2.3,684,1,nao,educacao,6300.0,60,1
100237,18,2548.62,1.1,516,0,nao,negocio,8700.0,36,0
100238,38,1764.44,,636,2,nao,reforma,2700.0,24,0
100239,27,1796.88,6.6,821,0,nao,pessoal,4700.0,36,0
100240,34,2593.13,0.4,469,2,sim,pessoal,4700.0,24,0
100241,29,6092.43,0.8,529,1,nao,pessoal,12600.0,12,0
100242,39,3615.52,11.8,752,1,sim,educacao,3300.0,12,0
100243,19,2177.01,1.4,650,0,nao,pessoal,5900.0,24,0
100244,22,,1.9,660,1,nao,pessoal,27300.0,24,0
100245,66,9726.06,2.4,773,1,sim,pessoal,37900.0,36,0
100246,25,6171.4,2.8,537,3,nao,veiculo,41400.0,60,1
100247,27,1987.85,1.3,572,0,nao,pessoal,3900.0,24,0
100248,62,3155.9,4.1,556,2,sim,veiculo,8300.0,24,0
100249,75,11237.05,11.1,595,0,sim,pessoal,68200.0,12,0
100250,26,3580.76,10.0,814,0,nao,veiculo,11900.0,60,0
100251,36,3069.28,5.6,419,1,sim,pessoal,12000.0,12,1
100252,44,5777.75,8.4,485,3,sim,veiculo,71900.0,24,0
100253,61,,1.5,462,1,sim,reforma,21700.0,60,1
100254,28,2351.57,0.6,822,2,nao,veiculo,6200.0,36,0
100255,37,4059.54,4.0,560,0,nao,pessoal,7800.0,24,0
100256,49,6828.35,18.1,598,1,sim,reforma,20100.0,48,1
100257,45,2078.19,10.9,430,0,nao,veiculo,13400.0,12,1
100258,35,3537.94,2.0,606,0,nao,veiculo,17500.0,24,0
100259,38,1972.04,1.7,753,0,sim,pessoal,16300.0,36,1
100260,24,1776.82,3.9,673,4,nao,negocio,7700.0,60,0
100261,37,2639.72,3.8,626,0,nao,veiculo,2400.0,60,0
100262,37,4677.64,4.3,437,1,nao,veiculo,23900.0,36,1
100263,43,3225.09,3.7,597,1,nao,pessoal,12000.0,24,0
100264,33,2401.11,5.0,659,1,nao,reforma,8400.0,36,0
100265,46,4090.35,13.7,511,2,nao,pessoal,29700.0,60,1
100266,52,2205.23,,725,4,sim,reforma,6500.0,48,0
100267,42,4820.83,1.8,755,1,sim,pessoal,23900.0,12,0
100268,44,7251.34,9.9,571,2,sim,pessoal,13300.0,60,0
100269,41,3605.47,6.5,734,0,nao,reforma,5100.0,60,0
100270,40,3331.23,0.8,626,2,sim,veiculo,8100.0,24,0
100271,31,4108.91,2.4,789,0,nao,pessoal,11900.0,48,0
100272,44,1412.0,6.6,904,0,nao,educacao,6900.0,60,0
100273,39,4946.63,11.1,498,1,sim,negocio,9000.0,24,0
100274,65,22821.4,19.5,740,1,sim,veiculo,150000.0,60,0
100275,59,3873.62,4.7,810,0,sim,reforma,7600.0,24,0
100276,45,3684.51,2.0,514,0,sim,veiculo,12200.0,24,0
100277,31,5036.69,2.0,565,0,sim,veiculo,17800.0,60,0
100278,27,7855.27,4.7,564,4,nao,reforma,32900.0,60,0
100279,54,7084.39,6.5,623,2,sim,reforma,32500.0,12,1
100280,43,1412.0,1.6,594,1,sim,pessoal,19200.0,60,0
100281,46,5420.27,5.3,614,0,nao,pessoal,13200.0,48,0
100282,19,,3.0,749,0,nao,veiculo,49400.0,60,0
100283,51,5835.76,1.6,394,1,sim,reforma,19400.0,36,1
100284,45,2084.7,4.7,513,1,sim,veiculo,13200.0,60,0
100285,27,3710.84,3.3,727,1,nao,pessoal,17000.0,48,0
100286,34,1716.61,,712,0,nao,veiculo,6900.0,48,1
100287,43,7584.56,3.9,502,0,sim,reforma,10800.0,36,1
100288,41,2226.16,5.5,713,1,nao,pessoal,5900.0,24,0
100289,36,3704.21,1.3,812,0,sim,negocio,7200.0,24,0
100290,39,2297.17,3.5,634,0,sim,veiculo,6100.0,12,0
100291,37,2664.01,0.9,509,0,nao,educacao,5700.0,60,0
100292,42,8623.46,,754,2,nao,pessoal,22100.0,36,0
100293,58,4386.64,1.3,864,2,sim,veiculo,12000.0,36,0
100294,18,2058.67,2.0,525,0,nao,negocio,5700.0,24,0
100295,37,1916.5,1.2,645,0,nao,veiculo,5600.0,48,1
100296,42,1412.0,1.8,782,0,nao,pessoal,2800.0,36,0
100297,44,1955.64,0.8,655,3,nao,negocio,7000.0,60,1
100298,36,3781.85,3.0,413,1,nao,veiculo,7700.0,12,1
100299,19,4872.64,1.3,698,0,nao,reforma,11900.0,24,0
100300,44,2859.74,15.7,513,0,sim,pessoal,9700.0,24,0
100301,61,9830.21,,475,3,sim,negocio,7300.0,12,1
100302,22,2000.23,6.0,415,0,nao,negocio,31200.0,48,1
100303,50,3635.53,,795,1,sim,veiculo,17400.0,48,0
100304,36,1963.78,,531,2,nao,pessoal,8300.0,36,1
100305,39,6349.49,4.7,683,2,sim,veiculo,16200.0,48,0
100306,27,10073.25,11.0,715,0,nao,pessoal,37300.0,60,0
100307,36,1412.0,4.8,661,0,sim,veiculo,2400.0,48,0
100308,56,3425.59,4.3,679,2,sim,reforma,16100.0,48,1
100309,47,8055.97,6.2,690,0,sim,pessoal,10300.0,36,0
100310,61,,2.4,658,1,sim,negocio,3100.0,36,0
100311,54,5659.51,8.1,541,0,sim,reforma,12900.0,24,1
100312,45,7701.9,9.9,530,0,nao,veiculo,66700.0,24,1
100313,61,4326.19,11.6,626,2,sim,veiculo,7800.0,12,0
100314,45,5324.41,6.1,624,2,nao,educacao,22800.0,36,0
100315,50,10915.22,5.1,696,2,sim,veiculo,11100.0,24,0
100316,36,10384.05,20.0,783,1,nao,negocio,36900.0,36,0
100317,41,3639.81,8.2,685,2,sim,pessoal,36100.0,60,0
100318,32,2528.01,16.0,535,3,nao,pessoal,11900.0,24,0
100319,52,2498.45,9.3,356,0,nao,veiculo,2500.0,24,0
100320,26,5367.05,10.0,540,1,nao,pessoal,19300.0,36,0
100321,49,1928.99,5.5,465,3,nao,veiculo,5100.0,36,0
100322,38,3167.9,2.4,545,4,sim,veiculo,23100.0,24,1
100323,54,4384.79,0.2,671,0,sim,pessoal,14500.0,36,0
100324,49,3110.62,4.3,651,0,sim,pessoal,4600.0,12,0
100325,62,4833.46,0.5,882,0,sim,pessoal,15600.0,36,0
100326,49,16809.71,12.3,703,0,sim,pessoal,38700.0,36,0
100327,21,2736.71,3.3,888,1,nao,pessoal,2600.0,36,0
100328,39,2897.89,9.8,733,0,sim,pessoal,9100.0,60,1
100329,26,5481.51,3.0,781,0,nao,negocio,19200.0,24,0
100330,34,3961.02,8.5,593,2,nao,pessoal,17400.0,36,1
100331,58,9145.81,13.5,500,4,sim,pessoal,58900.0,24,1
100332,48,4444.92,9.7,582,1,nao,negocio,13100.0,60,0
100333,32,,2.0,638,1,nao,educacao,4200.0,24,0
100334,28,1412.0,8.8,558,0,nao,pessoal,3000.0,36,0
100335,40,1527.98,5.9,510,5,nao,negocio,5300.0,36,1
100336,25,1412.0,2.2,694,1,sim,negocio,10200.0,60,1
100337,32,4174.01,2.5,509,0,nao,reforma,14600.0,36,0
100338,44,1839.85,1.6,441,1,nao,veiculo,5900.0,36,1
100339,54,8266.65,7.9,494,2,sim,veiculo,25100.0,36,1
100340,47,4085.4,10.5,610,3,sim,negocio,14200.0,48,1
100341,18,2448.11,2.0,511,2,sim,veiculo,27000.0,12,0
100342,44,2446.85,18.3,610,0,sim,educacao,8100.0,24,0
100343,41,5302.91,1.5,718,0,nao,pessoal,15800.0,24,0
100344,45,2527.38,5.1,715,0,nao,reforma,9100.0,36,0
100345,59,2410.19,0.1,554,1,sim,negocio,5600.0,36,0
100346,18,5382.82,2.0,470,2,nao,pessoal,7400.0,60,0
100347,33,4168.69,5.0,565,0,sim,pessoal,5100.0,36,0
100348,47,3530.97,12.9,725,3,sim,educacao,8000.0,24,0
100349,21,4163.78,5.0,756,3,nao,reforma,29600.0,36,0
100350,58,4164.41,7.8,686,0,nao,reforma,29400.0,36,0
100351,44,4804.63,10.7,796,1,sim,negocio,8600.0,36,0
100352,50,2644.27,3.0,865,0,nao,pessoal,8400.0,36,0
100353,33,10711.09,5.8,577,0,nao,reforma,40600.0,48,0
100354,50,3012.8,9.6,833,1,nao,reforma,6800.0,60,0
100355,53,9751.98,2.6,606,3,nao,pessoal,74800.0,12,1
100356,43,3470.14,3.3,773,2,nao,pessoal,19200.0,48,0
100357,43,6001.3,2.0,732,1,sim,reforma,26100.0,60,0
100358,43,5765.52,3.4,383,3,sim,reforma,21000.0,24,1
100359,30,6208.39,1.0,514,2,nao,reforma,8500.0,48,0
100360,38,2292.49,2.6,481,0,sim,veiculo,18100.0,12,1
100361,38,6577.03,0.6,408,2,nao,reforma,32600.0,36,0
100362,45,10861.22,1.9,754,1,nao,pessoal,48600.0,24,0
100363,52,3594.41,4.6,909,0,sim,pessoal,8100.0,24,0
100364,27,3239.25,2.8,607,0,nao,veiculo,7700.0,36,0
100365,38,2729.42,6.6,751,1,sim,reforma,12900.0,36,0
100366,58,3425.07,5.7,833,0,sim,educacao,23200.0,24,0
100367,31,8576.69,4.7,667,3,nao,veiculo,84500.0,36,0
100368,30,1901.81,0.3,637,0,sim,educacao,4300.0,36,0
100369,42,2268.09,14.7,608,1,sim,negocio,7200.0,12,0
100370,50,10050.85,2.9,710,2,nao,veiculo,10000.0,60,0
100371,40,5250.38,6.0,754,1,sim,veiculo,4200.0,60,0
100372,56,13301.34,9.3,700,0,nao,negocio,63800.0,24,0
100373,50,3234.65,1.8,696,1,sim,pessoal,6800.0,60,0
100374,50,4442.05,1.1,633,0,sim,reforma,4800.0,60,0
100375,47,2793.83,,433,1,nao,veiculo,4900.0,36,0
100376,68,,12.2,757,3,sim,veiculo,19300.0,60,0
100377,38,1412.0,,473,2,sim,negocio,6200.0,48,1
100378,18,4081.01,,721,0,nao,pessoal,5300.0,60,0
100379,59,,,738,0,sim,pessoal,36400.0,12,0
100380,35,3404.51,8.3,492,0,nao,pessoal,7800.0,48,1
100381,41,3038.35,0.3,561,1,sim,negocio,12500.0,24,0
100382,56,2533.36,7.7,916,2,sim,pessoal,9100.0,48,0
100383,21,4366.14,1.2,630,2,nao,reforma,15200.0,24,0
100384,25,1624.77,0.4,481,0,nao,pessoal,3200.0,48,1
100385,21,3877.46,0.6,744,2,nao,veiculo,13400.0,60,0
100386,30,10340.64,7.4,540,4,nao,veiculo,42500.0,36,1
100387,45,8905.72,0.7,390,0,nao,pessoal,27700.0,36,0
100388,46,1737.51,2.4,708,1,sim,veiculo,6500.0,12,0
100389,43,2865.86,9.4,521,1,sim,pessoal,19400.0,24,0
100390,23,3795.2,3.5,682,1,nao,pessoal,10000.0,60,1
100391,18,2693.83,0.2,534,1,nao,veiculo,14000.0,48,1
100392,41,1744.28,1.3,732,2,sim,veiculo,5400.0,48,0
100393,34,4291.58,1.8,664,1,nao,pessoal,35300.0,60,1
100394,46,3954.16,3.9,303,4,nao,veiculo,6000.0,36,1
100395,48,11635.51,20.0,690,5,sim,veiculo,89000.0,36,0
100396,42,3312.91,4.0,602,1,nao,negocio,8400.0,24,1
100397,49,7798.07,5.1,824,1,nao,reforma,96900.0,12,1
100398,43,1917.79,3.7,691,2,sim,negocio,8700.0,60,1
100399,46,2258.88,1.1,738,0,sim,veiculo,13200.0,60,0
100400,32,5038.73,3.6,548,0,sim,educacao,16000.0,24,0
100401,38,6606.38,22.0,537,1,nao,pessoal,34800.0,36,0
100402,42,2249.12,5.5,637,0,nao,veiculo,11800.0,36,0
100403,50,4199.24,10.2,593,0,sim,veiculo,13500.0,48,0
100404,35,1643.6,4.6,814,1,nao,reforma,9100.0,36,0
